,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,Mahébourg,40,MU,1600874282,68,-20.41,57.7,71.6,4.7
1,Vaini,40,TO,1600874320,88,-21.2,-175.2,71.6,8.05
2,Tasiilaq,20,GL,1600874377,88,65.61,-37.64,32.0,3.36
3,Íos,0,GR,1600874491,53,36.73,25.28,79.0,6.93
4,Carolina,40,PR,1600874389,55,18.38,-65.96,91.4,6.93
5,Avarua,92,CK,1600874306,94,-21.21,-159.78,77.0,3.36
6,Busselton,0,AU,1600874351,50,-33.65,115.33,60.01,13.2
7,Ushuaia,40,AR,1600874191,73,-54.8,-68.3,50.0,20.8
8,Saint-Philippe,35,RE,1600874369,64,-21.36,55.77,71.6,11.41
9,Paita,40,PE,1600874498,77,-5.09,-81.11,68.0,12.75
10,Rikitea,0,PF,1600874350,73,-23.12,-134.97,71.96,13.82
11,Singkawang,100,ID,1600874500,85,0.9,109.0,78.64,1.48
12,George Town,40,MY,1600874217,79,5.41,100.34,84.2,5.82
13,Ancud,0,CL,1600874502,58,-41.87,-73.82,51.57,3.13
14,Mossamedes,27,AO,1600874051,75,-15.2,12.15,69.03,13.04
15,Salta,0,AR,1600874429,23,-24.79,-65.41,73.4,4.7
16,Metro,3,ID,1600874506,86,-5.11,105.31,78.04,5.26
17,Neuquén,0,AR,1600874420,44,-38.95,-68.06,57.2,4.7
18,Upernavik,98,GL,1600874508,97,72.79,-56.15,28.33,13.29
19,Bethel,1,US,1600874212,55,41.37,-73.41,68.0,5.82
20,Hithadhoo,27,MV,1600874299,62,-0.6,73.08,83.07,5.26
21,Khatanga,100,RU,1600874512,88,71.97,102.5,47.08,7.81
22,Bredasdorp,0,ZA,1600874513,63,-34.53,20.04,66.2,6.93
23,Vestmanna,71,FO,1600874514,87,62.16,-7.17,44.6,6.93
24,Middle Island,1,US,1600874505,43,40.88,-72.94,71.6,11.41
25,Jamestown,1,US,1600874028,82,42.1,-79.24,66.0,5.82
26,Praia da Vitória,75,PT,1600873969,88,38.73,-27.07,71.01,22.62
27,Albany,72,US,1600874298,56,42.6,-73.97,66.99,9.53
28,Nanortalik,84,GL,1600874450,72,60.14,-45.24,39.29,11.05
29,Elizabeth City,1,US,1600874521,60,36.29,-76.25,69.8,6.93
30,Severo-Kuril'sk,6,RU,1600874522,75,50.68,156.12,46.8,14.47
31,Hilo,90,US,1600874194,88,19.73,-155.09,73.4,6.93
32,Dikson,100,RU,1600874371,87,73.51,80.55,40.57,16.2
33,Cape Town,22,ZA,1600874459,72,-33.93,18.42,64.99,16.11
34,Porto-Novo,40,BJ,1600874336,78,6.5,2.6,82.4,10.29
35,Laurens,90,US,1600874528,64,32.45,-82.92,72.0,1.61
36,Punta Arenas,75,CL,1600874293,61,-53.15,-70.92,50.0,23.04
37,Hermanus,0,ZA,1600874388,72,-34.42,19.23,66.0,5.01
38,Pahrump,0,US,1600874434,28,36.21,-115.98,70.0,2.51
39,Mawlaik,100,MM,1600874532,95,23.63,94.42,77.32,1.05
40,Hobart,40,AU,1600874329,81,-42.88,147.33,44.6,4.7
41,Tuktoyaktuk,75,CA,1600874534,100,69.45,-133.04,33.8,6.93
42,Moose Factory,75,CA,1600874536,82,51.26,-80.61,60.8,8.05
43,Esperance,16,AU,1600874384,100,-33.87,121.9,50.0,6.93
44,Havre-St-Pierre,90,CA,1600874169,87,50.23,-63.6,53.6,11.41
45,Ankang,0,CN,1600874539,82,32.68,109.02,62.51,1.1
46,Ola,60,RU,1600874540,70,59.58,151.28,39.74,7.47
47,Grand-Santi,75,GF,1600874541,40,4.25,-54.38,93.07,5.06
48,Mehamn,75,NO,1600874543,75,71.04,27.85,42.8,13.87
49,Puerto Escondido,20,MX,1600874544,74,15.85,-97.07,82.4,8.05
50,Coyhaique,20,CL,1600874291,69,-45.58,-72.07,50.0,5.82
51,Yulara,0,AU,1600874546,23,-25.24,130.99,62.6,9.17
52,Atar,16,MR,1600874344,14,20.52,-13.05,104.31,3.2
53,Gelemso,66,ET,1600874548,78,8.82,40.52,64.78,8.5
54,Saldanha,0,ZA,1600874550,53,-33.01,17.94,71.6,11.41
55,Sur,45,OM,1600874551,58,22.57,59.53,84.69,7.07
56,Airai,0,TL,1600874355,62,-8.93,125.41,62.33,2.57
57,Arlit,0,NE,1600874000,8,18.74,7.39,102.58,8.41
58,New Norfolk,57,AU,1600874304,78,-42.78,147.06,43.0,2.35
